Date,Open,High,Low,Close,Volume,Date_year,Date_month,Date_day,Date_day_of_week,Open_x_High,Open_x_Low,High_x_Low,Open_scaled,High_scaled,Low_scaled,Close_scaled,Volume_scaled
1995-09-12,0.397321,0.40067,0.38058,0.383371,326256000,1995,9,12,1,0.15919460507,0.15121242617999997,0.1524869886,-0.6331761105202621,-0.6335977264935584,-0.6338336772789206,-0.6343034095260194,0.09874892591692559
1995-09-13,0.382813,0.387277,0.375,0.378348,322750400,1995,9,13,2,0.148254670201,0.143554875,0.14522887499999998,-0.6343184221307921,-0.6346423087664407,-0.6342779238804342,-0.6346991321535009,0.08386058630717999
1995-09-14,0.36942,0.371652,0.354911,0.357143,550558400,1995,9,14,3,0.13729568184000002,0.13111122162,0.131903382972,-0.6353729423541055,-0.635860975085696,-0.63587729125997,-0.6363697071715673,1.0513648280395305
1995-09-15,0.333705,0.356027,0.316964,0.320313,844386400,1995,9,15,4,0.11880799003499999,0.10577247162,0.112847742028,-0.6381850225284975,-0.6370796414049511,-0.638898406992522,-0.6392712529350847,2.2992570721210948
1995-09-18,0.324777,0.328683,0.320313,0.327567,621488000,1995,9,18,0,0.10674867869099999,0.104030295201,0.10528143777900001,-0.638887983519593,-0.6392123269623089,-0.6386317794175275,-0.6386997673806846,1.352603980590709
1995-09-19,0.328125,0.331473,0.322545,0.328125,490022400,1995,9,19,1,0.10876457812500001,0.10583507812500001,0.10691495878500001,-0.6386243731479321,-0.6389947219043426,-0.6384540807769221,-0.638655806953423,0.7942674619351374
1995-09-20,0.332589,0.333705,0.325893,0.327009,321809600,1995,9,20,2,0.110986612245,0.108388426977,0.10875212356499998,-0.6382728926523844,-0.6388206378579696,-0.6381875328160138,-0.6387437278079462,0.07986499356846231
1995-09-21,0.325893,0.334821,0.324777,0.330357,347334400,1995,9,21,3,0.10911582015299999,0.10584255086099999,0.10874215991699998,-0.6388001133957059,-0.6387335958347832,-0.6382763821363167,-0.638479965244377,0.18826922989629055
1995-09-22,0.329241,0.332589,0.324777,0.330915,398641600,1995,9,22,4,0.10950193494900001,0.106929904257,0.108017257653,-0.6385365030240452,-0.6389076798811562,-0.6382763821363167,-0.6384360048171154,0.4061717338970721
1995-09-25,0.341518,0.341657,0.333705,0.334961,315212800,1995,9,25,0,0.11668201532599999,0.11396626418999999,0.11401264918499998,-0.6375698529246188,-0.6382004244454438,-0.6375655875738946,-0.6381172523284053,0.05184827781721579
1995-09-26,0.337054,0.33817,0.331473,0.333705,250902400,1995,9,26,1,0.11398155118000002,0.11172430054200001,0.11209422441000001,-0.6379213334201665,-0.6384723917705794,-0.6377432862145,-0.6382162026808076,-0.22127902582227074
1995-09-27,0.334821,0.334821,0.310268,0.323661,451236800,1995,9,27,2,0.112105102041,0.10388424202799999,0.10388424202799999,-0.6380971524046106,-0.6387335958347832,-0.6394315029143385,-0.6390074903715155,0.6295443946234791
1995-09-28,0.325893,0.33817,0.325893,0.337054,331184000,1995,9,28,3,0.11020723581,0.106206247449,0.11020723581,-0.6388001133957059,-0.6384723917705794,-0.6381875328160138,-0.6379523613351107,0.11967822121497054
1995-09-29,0.339286,0.341518,0.329241,0.332589,283416000,1995,9,29,4,0.11587227614799998,0.11170686192599999,0.112441727838,-0.6377455931723928,-0.6382112657010198,-0.6379209848551056,-0.6383041235353307,-0.08319324343539693
1995-10-02,0.337054,0.34375,0.334821,0.335938,392000000,1995,10,2,0,0.11586231250000001,0.112852757334,0.11509471874999999,-0.6379213334201665,-0.6380371816546468,-0.6374767382535919,-0.6380402821896337,0.3779647518249343
1995-10-03,0.340402,0.34375,0.331473,0.335938,289822400,1995,10,3,1,0.11701318749999999,0.112834072146,0.11394384375000001,-0.6376577230485059,-0.6380371816546468,-0.6377432862145,-0.6380402821896337,-0.0559851595479385
1995-10-04,0.327009,0.330357,0.321429,0.324777,266772800,1995,10,4,2,0.108029712213,0.10511017586100001,0.10618632015300002,-0.638712243271819,-0.6390817639275291,-0.6385429300972248,-0.6389195695169924,-0.15387718164652145
1995-10-05,0.323661,0.327009,0.320313,0.325893,244070400,1995,10,5,3,0.10584005994899999,0.103672825893,0.104745233817,-0.6389758536434799,-0.6393428899970885,-0.6386317794175275,-0.6388316486624692,-0.25029463975819666
1995-10-06,0.328125,0.330357,0.31808,0.318638,309041600,1995,10,6,4,0.10839839062500001,0.10436999999999999,0.10507995456,-0.6386243731479321,-0.6390817639275291,-0.6388095576722194,-0.639403212998997,0.02563909211443678
1995-10-09,0.315848,0.319196,0.30692,0.310826,372568000,1995,10,9,0,0.100817418208,0.09694006816000002,0.09796763632,-0.6395910232473584,-0.6399522621540384,-0.6396980508752468,-0.6400186589806586,0.29543673513832525
1995-10-10,0.30692,0.3125,0.300223,0.30971,400265600,1995,10,10,1,0.09591250000000001,0.09214444316000002,0.0938196875,-0.6402939842384539,-0.6404745142931573,-0.6402312264111495,-0.6401065798351817,0.4130688880293824
1995-10-11,0.314732,0.31808,0.304688,0.311384,332875200,1995,10,11,2,0.10010995455999999,0.095895063616,0.09691515903999999,-0.6396788933712454,-0.6400393041772249,-0.6398757495158522,-0.6399746985533971,0.1268607748286178
1995-10-12,0.3125,0.315848,0.310268,0.31529,162052800,1995,10,12,3,0.0987025,0.09695875,0.097997527264,-0.6398546336190192,-0.6402133882235977,-0.6394315029143385,-0.6396669755625664,-0.5986247067299765
1995-10-13,0.319196,0.329241,0.316964,0.321429,235188800,1995,10,13,4,0.105092410236,0.101173640944,0.104357544324,-0.6393274128756977,-0.6391688059507157,-0.638898406992522,-0.6391833320805616,-0.2880149378749004
1995-10-16,0.323661,0.330357,0.320313,0.322545,182067200,1995,10,16,0,0.10692367697699999,0.103672825893,0.10581764174100002,-0.6389758536434799,-0.6390817639275291,-0.6386317794175275,-0.6390954112260385,-0.5136232278717804
1995-10-17,0.325893,0.329241,0.320313,0.327009,178617600,1995,10,17,1,0.107297337213,0.104387764509,0.105460172433,-0.6388001133957059,-0.6391688059507157,-0.6386317794175275,-0.6387437278079462,-0.5282737345804118
1995-10-18,0.330357,0.353237,0.328125,0.333705,512400000,1995,10,18,2,0.11669431560900001,0.10839839062500001,0.11590589062500001,-0.6384486329001583,-0.6372972464629173,-0.6380098341754084,-0.6382162026808076,0.8893054892203506
1995-10-19,0.320313,0.322545,0.310268,0.310268,844386400,1995,10,19,3,0.10331535658500002,0.099382873884,0.10007539206,-0.6392394640151405,-0.6396910580898345,-0.6394315029143385,-0.6400626194079202,2.2992570721210948
1995-10-20,0.314732,0.314732,0.309152,0.313616,386332800,1995,10,20,4,0.099056231824,0.097300027264,0.097300027264,-0.6396788933712454,-0.6403004302467844,-0.6395203522346413,-0.639798856844351,0.3538960622321826
